birim,isim,arastirma_alan,proje,yayin,ders,toplam,
Atatürk İlkeleri ve İnkılap Tarihi,Fahriye Dinçer,0,0,22,13,35,
Atatürk İlkeleri ve İnkılap Tarihi,Mehmet Beşikçi,5,3,24,1,33,
Atatürk İlkeleri ve İnkılap Tarihi,Ercan Karakoç,0,0,19,4,23,
Atatürk İlkeleri ve İnkılap Tarihi,Eray Yılmaz,5,0,13,1,19,
Atatürk İlkeleri ve İnkılap Tarihi,Zafer Doğan,2,0,6,0,8,
Atatürk İlkeleri ve İnkılap Tarihi,Gülsema Lüyer,5,0,0,1,6,
Atatürk İlkeleri ve İnkılap Tarihi,Neslihan ERKAN,2,0,0,2,4,
Batı Dilleri ve Edebiyatı,Ertuğrul Efeoğlu,12,0,180,0,192,
Batı Dilleri ve Edebiyatı,Ayşe Banu KARADAĞ,5,1,107,68,181,
Batı Dilleri ve Edebiyatı,Lale Özcan,7,1,41,4,53,
Batı Dilleri ve Edebiyatı,Sündüz Kasar,0,0,45,5,50,
Batı Dilleri ve Edebiyatı,Sadriye Güneş,0,7,33,6,46,
Batı Dilleri ve Edebiyatı,Emine BOGENÇ DEMİREL,0,5,38,1,44,
Batı Dilleri ve Edebiyatı,SERHAT ULAĞLI,1,0,32,9,42,
Batı Dilleri ve Edebiyatı,Pınar Güzelyürek Çelik,0,1,30,1,32,
Batı Dilleri ve Edebiyatı,Özgür Elif Ertan,0,0,29,1,30,
Batı Dilleri ve Edebiyatı,anna lia ergun,0,3,25,0,28,
Batı Dilleri ve Edebiyatı,Hülya Yılmaz,1,0,21,4,26,
Batı Dilleri ve Edebiyatı,Duygu (Çurum) DUMAN,5,1,16,2,24,
Batı Dilleri ve Edebiyatı,Semra Baturay,4,2,15,2,23,
Batı Dilleri ve Edebiyatı,Beki Haleva,0,1,14,7,22,
Batı Dilleri ve Edebiyatı,Şule Demirkol-Ertürk,0,2,20,0,22,
Batı Dilleri ve Edebiyatı,Deniz Koçak Kurmel,3,1,9,2,15,
Batı Dilleri ve Edebiyatı,Hande Ersöz Demirdağ,2,2,6,2,12,
Batı Dilleri ve Edebiyatı,FÜSUN BİLİR ATASEVEN,0,1,8,2,11,
Batı Dilleri ve Edebiyatı,Zeynep Görgüler,3,0,6,0,9,
Batı Dilleri ve Edebiyatı,Ayşe Ayhan,2,0,2,0,4,
Beden Eğitimi,Çetin Erdem SONAL,3,0,1,5,9,
Beden Eğitimi,Şener GÜNAY,0,0,1,0,1,
Bilgisayar Mühendisliği,Banu Diri,2,7,89,4,102,
Bilgisayar Mühendisliği,Ferkan YILMAZ,20,0,75,0,95,
Bilgisayar Mühendisliği,Gökhan Bilgin,9,7,55,4,75,
Bilgisayar Mühendisliği,Mehmet Aktaş,13,12,43,0,68,
Bilgisayar Mühendisliği,SIRMA YAVUZ,3,7,50,4,64,
Bilgisayar Mühendisliği,Songül Varlı Albayrak,0,4,48,1,53,
Bilgisayar Mühendisliği,M. Fatih Amasyalı,4,2,41,1,48,
Bilgisayar Mühendisliği,Göksel Biricik,5,6,22,14,47,
Bilgisayar Mühendisliği,Nizamettin AYDIN,0,1,46,0,47,
Bilgisayar Mühendisliği,Erkan Uslu,0,9,20,8,37,
Bilgisayar Mühendisliği,Zeyneb Kurt,6,2,28,0,36,
Bilgisayar Mühendisliği,M. Amaç Güvensan,6,4,20,0,30,
Bilgisayar Mühendisliği,OĞUZ ALTUN,3,2,20,1,26,
Bilgisayar Mühendisliği,Ziya Cihan Taysi,5,4,16,0,25,
Bilgisayar Mühendisliği,Furkan Çakmak,5,4,16,0,25,
Bilgisayar Mühendisliği,Ömer Özgür Bozkurt,3,4,8,7,22,
Bilgisayar Mühendisliği,Veli Hakkoymaz,0,0,13,8,21,
Bilgisayar Mühendisliği,Uğur ÇEKMEZ,6,3,9,0,18,
Bilgisayar Mühendisliği,Sercan Aygün,5,1,12,0,18,
Bilgisayar Mühendisliği,Ahmet Tevfik İNAN,3,0,4,10,17,
Bilgisayar Mühendisliği,Hafiza İrem TÜRKMEN,0,1,15,0,16,
Bilgisayar Mühendisliği,Yunus Emre Selçuk,2,1,8,3,14,
Bilgisayar Mühendisliği,hamza osman ilhan,0,2,12,0,14,
Bilgisayar Mühendisliği,ismail duru,5,4,5,0,14,
Bilgisayar Mühendisliği,İbrahim Onur Sığırcı,7,1,6,0,14,
Bilgisayar Mühendisliği,AHMET ELBİR,5,1,7,0,13,
Bilgisayar Mühendisliği,Ali Yamuç,9,0,3,0,12,
Bilgisayar Mühendisliği,Nihal ALTUNTAŞ,3,2,6,0,11,
Bilgisayar Mühendisliği,Abdülkadir ALBAYRAK,6,1,4,0,11,
Bilgisayar Mühendisliği,Asım Kasapoğlu,0,0,7,3,10,
Bilgisayar Mühendisliği,Ozan Özışık,0,2,7,0,9,
Bilgisayar Mühendisliği,GÜRKAN ALPASLAN,2,0,7,0,9,
Bilgisayar Mühendisliği,GÜRKAN ŞAHİN,1,1,7,0,9,
Bilgisayar Mühendisliği,A. Gökhan YAVUZ,0,1,7,0,8,
Bilgisayar Mühendisliği,OYA KALIPSIZ,0,0,4,2,6,
Bilgisayar Mühendisliği,Kamil Erdayandı,0,1,5,0,6,
Bilgisayar Mühendisliği,Adem Güçlü,0,0,5,0,5,
Bilgisayar Mühendisliği,Zeynep Banu Özger,0,0,5,0,5,
Bilgisayar Mühendisliği,Ahmet Coşkun Sönmez,0,0,5,0,5,
Bilgisayar Mühendisliği,Fatih KELEŞ,0,1,3,0,4,
Bilgisayar Mühendisliği,Tülin Sarı,0,0,4,0,4,
Bilgisayar Mühendisliği,Aysun Sezer,3,0,1,0,4,
Bilgisayar Mühendisliği,mecit yüzkat,3,0,1,0,4,
Bilgisayar Mühendisliği,Mustafa Utku Kalay,0,0,2,1,3,
Bilgisayar Mühendisliği,Hacer Bayıroğlu,0,0,2,0,2,
Bilgisayar Mühendisliği,Uğur Ergül,0,0,1,0,1,
Bilgisayar Mühendisliği,M. Said Aydemir,0,0,1,0,1,
Bilgisayar Mühendisliği,Mine Elif Karsligil,0,0,1,0,1,
Bilgisayar Mühendisliği,Ahmet DEVELİ,0,0,1,0,1,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Feza Orhan,0,3,44,10,57,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Tuncay Sevindik,3,2,32,8,45,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Mehmet Fatih ERKOÇ,1,4,34,0,39,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Sabiha AKGÜN YENİ,4,6,20,7,37,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,M. Betül Yılmaz,0,4,18,13,35,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Beyza Bayrak,0,1,28,6,35,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Selda Kayak,0,1,27,0,28,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Tuba Uğraş,6,3,18,0,27,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Zeynep Gecü-Parmaksız,0,2,18,0,20,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Ayşe Günay Gökben,0,2,15,0,17,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Melike KAVUK KALENDER,2,0,14,0,16,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Serhat Bahadır Kert,0,2,13,0,15,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Çiğdem Uz Bilgin,0,1,12,0,13,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Meryem Köşkeroğlu Büyükimdat,0,2,9,0,11,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Gülüstan Doğan,0,0,11,0,11,
Bilgisayar ve Öğretim Teknolojileri Eğitimi,Emre Özgündüz,0,0,4,0,4,
Biyomedikal Mühendisliği,Görkem Serbes,0,1,34,11,46,
Biyomedikal Mühendisliği,Kamuran Kadıpaşaoğlu,6,0,1,10,17,
Biyomedikal Mühendisliği,Özcan Tunçtürk,0,0,0,1,1,
Biyomühendislik,Adil Allahverdiyev,10,21,198,14,243,
Biyomühendislik,Zeynep Akdeste,0,10,198,2,210,
Biyomühendislik,Sevil Yücel,8,25,121,14,168,
Biyomühendislik,Didem Özçimen,6,22,115,14,157,
Biyomühendislik,MELAHAT BAĞIROVA,6,22,100,15,143,
Biyomühendislik,Dilek Turgut Balık,12,16,102,0,130,
Biyomühendislik,İbrahim Işıldak,0,55,70,0,125,
Biyomühendislik,Rabia Çakır Koç,3,8,67,24,102,
Biyomühendislik,Cem Bülent Üstündağ,6,12,58,10,86,
Biyomühendislik,Muhammet U. Kahveci,7,8,66,4,85,
Biyomühendislik,YASEMİN KILINÇ,0,18,55,0,73,
Biyomühendislik,Musa Türker,3,7,62,1,73,
Biyomühendislik,Serap DERMAN,4,13,44,0,61,
Biyomühendislik,Yeliz Elalmış,3,10,41,4,58,
Biyomühendislik,Mehmet Burçin Pişkin,0,10,47,0,57,
Biyomühendislik,Esma Ahlatcıoğlu Özerol,4,3,39,3,49,
Biyomühendislik,M. Murat Özmen,7,4,29,9,49,
Biyomühendislik,Azade Attar,3,7,33,0,43,
Biyomühendislik,Alper Yilmaz,5,2,18,17,42,
Biyomühendislik,Ayhan Bingölbali,0,11,26,0,37,
Biyomühendislik,Kadriye Kızılbey,0,5,31,0,36,
Biyomühendislik,Emrah Şefik Abamor,0,3,31,0,34,
Biyomühendislik,Ayşegül Erdemir,6,3,25,0,34,
Biyomühendislik,Gündoğ Yücesan,1,11,20,0,32,
Biyomühendislik,Zafer Ömer ÖZDEMİR,0,1,24,0,25,
Biyomühendislik,Murat Topuzoğulları,3,4,18,0,25,
Biyomühendislik,Emrah SARIYER,7,2,13,2,24,
Biyomühendislik,Sezen Canım Ateş,0,8,15,0,23,
Biyomühendislik,Tuğba Özer,3,3,9,0,15,
Biyomühendislik,Rıdvan Yıldırım,5,6,0,2,13,
Biyomühendislik,Muhammet Çelik,3,1,0,5,9,
Biyomühendislik,Azime Yilmaz,0,1,3,0,4,
Biyomühendislik,Mustafa Niğde,0,2,0,0,2,
Elektrik - Elektronik Fakültesi,Erdin GÖKALP,1,1,3,4,9,
Elektrik - Elektronik Fakültesi,M. Salih Taci,0,0,8,0,8,
Elektrik - Elektronik Fakültesi,A. Hülya OBDAN,0,3,4,0,7,
Elektrik - Elektronik Fakültesi,Kadir Doğanşahin,4,0,0,0,4,
Elektrik - Elektronik Fakültesi,Ayşe Bilge Gündüz,1,0,1,0,2,
Elektrik - Elektronik Fakültesi,Nihat Akkan,0,0,1,0,1,
Elektrik Mühendisliği,Bora ACARKAN,27,7,24,55,113,
Elektrik Mühendisliği,Ozan Erdinç,2,8,66,4,80,
Elektrik Mühendisliği,Hacı BODUR,5,9,56,7,77,
Elektrik Mühendisliği,Uğur Savaş Selamoğulları,3,8,37,10,58,
Elektrik Mühendisliği,Ahmet Faruk Bakan,1,11,45,1,58,
Elektrik Mühendisliği,Aslan İnan,2,3,37,12,54,
Elektrik Mühendisliği,İbrahim Şenol,0,9,42,1,52,
Elektrik Mühendisliği,Bedri Kekezoğlu,5,8,35,4,52,
Elektrik Mühendisliği,Ali Rıfat Boynueğri,10,12,29,0,51,
Elektrik Mühendisliği,Naim Süleyman TINĞ,9,0,24,5,38,
Elektrik Mühendisliği,ONUR ELMA,5,5,23,1,34,
Elektrik Mühendisliği,Mustafa BAYSAL,0,5,22,7,34,
Elektrik Mühendisliği,Akın Taşcıkaraoğlu,4,7,23,0,34,
Elektrik Mühendisliği,Engin AYÇİÇEK,4,7,23,0,34,
Elektrik Mühendisliği,YUSUF YAŞA,7,4,21,0,32,
Elektrik Mühendisliği,Hakan AKÇA,3,5,21,2,31,
Elektrik Mühendisliği,Ali Durusu,2,3,26,0,31,
Elektrik Mühendisliği,BURAK AKIN,3,3,24,1,31,
Elektrik Mühendisliği,Selin Özçıra,0,6,25,0,31,
Elektrik Mühendisliği,M. Hadi Sarul,0,3,25,2,30,
Elektrik Mühendisliği,Yavuz ATEŞ,4,3,12,10,29,
Elektrik Mühendisliği,Yasemin Oner,3,5,20,0,28,
Elektrik Mühendisliği,Altuğ BOZKURT,0,1,22,5,28,
Elektrik Mühendisliği,Nur Bekiroğlu,0,8,18,0,26,
Elektrik Mühendisliği,Oktay ARIKAN,0,3,23,0,26,
Elektrik Mühendisliği,İsmail NAKİR,0,7,16,3,26,
Elektrik Mühendisliği,A. Yiğit ARABUL,5,3,9,6,23,
Elektrik Mühendisliği,Sibel ZORLU PARTAL,0,3,19,0,22,
